"","OBJECTID","REQUESTID","DESCRIPTION","ADDRESS","INITIATEDDATE","CLOSEDDATE","WORKORDERID","STATUS","CSRNUMBER","x","y"
"8654",12644,864128,"TREE PLANTING","512 M STREET NW",1318450255000,1328168618000,"227157","CLOSED","11-00322034",-77.0194957661957,38.9054689950039
"8673",12663,864722,"TREE PLANTING","3309 PORTER STREET NW",1318522800000,1318936605000,NA,"CLOSED","11-00322861",-77.0658104245564,38.9374967776296
"8699",12689,865129,"TREE PLANTING","1447 EAST CAPITOL STREET SE",1.318539e+12,1351670386000,"275805","CLOSED","11-00323389",-76.9838452352127,38.8895388434767
"8711",12701,865573,"TREE PLANTING","1550 FOXHALL ROAD NW",1318604343000,1329316646000,"221751","CLOSED","11-00324028",-77.0841924045575,38.910099044081
"8714",12704,865666,"TREE PLANTING","6801 8TH STREET NW",1318607043000,1329393511000,"273708","CLOSED","11-00324143",-77.0242836920794,38.9725574654175
"8721",12711,865964,"TREE PLANTING","1513 CAROLINE STREET NW",1318616404000,1324549125000,"228258","CLOSED","11-00324515",-77.0355245798992,38.9164480122451
"8728",12718,866067,"TREE PLANTING","1116 EAST CAPITOL STREET NE",1318620903000,1327056963000,"229728","CLOSED","11-00324696",-76.9908066467773,38.890597272152
"8739",12729,866403,"TREE PLANTING","3802 MILITARY ROAD NW",1318685524000,1331110778000,"194365","CLOSED","11-00325165",-77.0751507436295,38.9607940361001
"8749",12739,867095,"TREE PLANTING","506 25TH PLACE NE",1318731246000,1318860650000,NA,"CLOSED","11-00325998",-76.9719534092382,38.8963998921163
"8754",12744,867111,"TREE PLANTING","39TH ST NW & BENTON ST NW",1318781288000,1321540316000,NA,"CLOSED","11-00326037",-77.0770560427198,38.9206898470811
"8763",12753,867248,"TREE PLANTING","125 16TH STREET NE",1318857070000,1320068359000,NA,"CLOSED","11-00326321",-76.9820128933918,38.8917192331669
"8771",12761,867458,"TREE PLANTING","2846 DAVENPORT STREET NW",1318864450000,1319024720000,NA,"CLOSED","11-00326657",-77.057698737918,38.9519072964815
"8782",12772,867889,"TREE PLANTING","1826 12TH STREET NW",1318879392000,1331110778000,"289825","CLOSED","11-00327320",-77.0282558018247,38.9153900754571
"8790",12780,868137,"TREE PLANTING","2227 39TH PLACE NW",1318907112000,1362381582000,"302625","CLOSED","11-00327734",-77.0777197194966,38.9199826139719
"8803",12793,868466,"TREE PLANTING","1100 - 1199 BLOCK OF O STREET NW",1318952655000,1319202481000,NA,"CLOSED","11-00328309",-77.0275640967532,38.9085820427192
"8812",12802,868703,"TREE PLANTING","905 C STREET NE",1318959134000,1327326047000,"229729","CLOSED","11-00328667",-76.9934489921666,38.8934331959549
"8820",12810,868935,"TREE PLANTING","1112 Q STREET NW",1318967955000,1328168618000,"227160","CLOSED","11-00329040",-77.0275385014318,38.9109717464294
"8821",12811,868942,"TREE PLANTING","2120 VERMONT AVENUE NW",1318968316000,1328546035000,"289822","CLOSED","11-00329055",-77.0248487095124,38.9186820440938
"8824",12814,869099,"TREE PLANTING","40 TODD PLACE NE",1318978394000,1320238999000,NA,"CLOSED","11-00329279",-77.007574365866,38.9164496540152
"8826",12816,869157,"TREE PLANTING","2633 ADAMS MILL ROAD NW",1318987395000,1320328433000,NA,"CLOSED","11-00329374",-77.0442762972788,38.9241094893806
"8830",12820,869274,"TREE PLANTING","720 MORTON STREET NW",1319031678000,1362381582000,"317590","CLOSED","11-00329580",-77.0244668093671,38.9318292257275
"8836",12826,869390,"TREE PLANTING","610 ROXBORO PLACE NW",1319035459000,1327326047000,"213068","CLOSED","11-00329760",-77.0217020005659,38.9654320026811
"8842",12832,869677,"TREE PLANTING","257 TENNESSEE AVENUE NE",1319044818000,1320060872000,NA,"CLOSED","11-00330204",-76.987029561582,38.8932660048059
"8855",12845,869892,"TREE PLANTING","16TH STREET NW AND L STREET NW",1319055619000,1324549125000,"302574","CLOSED","11-00330585",-77.0365408125785,38.903746788814
"8861",12851,870036,"TREE PLANTING","425 C STREET NE",1319070198000,1319545855000,NA,"CLOSED","11-00330841",-76.999860269867,38.892903777306
"8863",12853,870060,"TREE PLANTING","910 M STREET NW",1319078300000,1319639441000,NA,"CLOSED","11-00330877",-77.0245703791401,38.9053916470892
"8865",12855,870181,"TREE PLANTING","1823 Q STREET NW",1319116461000,1328168618000,"228280","CLOSED","11-00331064",-77.0430733736129,38.9113003607106
"8866",12856,870183,"TREE PLANTING","CORCORAN STREET NW AND 17TH STREET NW",1319116462000,1324549125000,"228279","CLOSED","11-00331066",-77.0384860040291,38.9118770544135
"8867",12857,870189,"TREE PLANTING","1615 NEW HAMPSHIRE AVENUE NW",1319116640000,1324549125000,"133887","CLOSED","11-00331072",-77.0408294824902,38.9120476877174
"8878",12868,870491,"TREE PLANTING","127 16TH STREET NE",1319126722000,1407751629000,"275804","CLOSED","11-00331514",-76.9820127655421,38.8917691395375
"8881",12871,870559,"TREE PLANTING","2223 12TH STREET NW",1319129060000,1320066152000,NA,"CLOSED","11-00331603",-77.0278536303473,38.9198664121146
"8902",12892,871016,"TREE PLANTING","651 8TH STREET NE",1319149402000,1319547418000,NA,"CLOSED","11-00332213",-76.9947060951376,38.898719008863
"8904",12894,871056,"TREE PLANTING","408 K STREET SE",1319152462000,1320416136000,NA,"CLOSED","11-00332264",-77.0001813765598,38.8785618009059
"8910",12900,871211,"TREE PLANTING","1502 6TH STREET NW",1319201965000,1324549125000,"228163","CLOSED","11-00332480",-77.0201282387548,38.909917570325
"8924",12914,871458,"TREE PLANTING","610 S STREET NW",1319210423000,1324549125000,"227414","CLOSED","11-00332840",-77.0204652542271,38.9139336103957
"8933",12923,871856,"TREE PLANTING","1229 O STREET NW",1319222485000,1324549125000,"228266","CLOSED","11-00333334",-77.0294075217302,38.9087646068197
"8936",12926,871908,"TREE PLANTING","1371 K STREET SE",1319225184000,1362381582000,"275768","CLOSED","11-00333400",-76.9858438697776,38.878228173258
"8938",12928,872008,"TREE PLANTING","6931 WESTERN AVENUE NW",1319231304000,1324549125000,"233393","CLOSED","11-00333547",-77.061329657321,38.9795371747783
"8941",12931,872064,"TREE PLANTING","1623 19TH STREET NW",1319234904000,1328168618000,"228281","CLOSED","11-00333626",-77.0431761532853,38.9119496440916
"8942",12932,872177,"TREE PLANTING","3917 BENTON STREET NW",1319253265000,1319467429000,NA,"CLOSED","11-00333776",-77.0777805508968,38.9208841271656
"8948",12938,872769,"TREE PLANTING","1603 D STREET NE",1319320227000,1327326047000,"229317","CLOSED","11-00334507",-76.9819944153114,38.8945990265024
"8949",12939,872851,"TREE PLANTING","3918 CALVERT STREET NW",1319327247000,1323871531000,"152364","CLOSED","11-00334604",-77.0781418693467,38.9223886372245
"8950",12940,872853,"TREE PLANTING","3824 CALVERT STREET NW",1319327249000,1331110778000,"194333","CLOSED","11-00334606",-77.0755423393201,38.9223626910319
"8952",12942,872859,"TREE PLANTING","TUNLAW ROAD NW AND CALVERT STREET NW",1319329229000,1319467068000,NA,"CLOSED","11-00334618",-77.0746997968489,38.922556010838
"8964",12954,873254,"TREE PLANTING","717 T STREET NW",1319471433000,1335173642000,"289828","CLOSED","11-00335390",-77.0225011803029,38.91574472239
"8975",12965,873641,"TREE PLANTING","1026 16TH STREET NW",1319485653000,1324549125000,"302571","CLOSED","11-00335977",-77.0369570482945,38.9035240163822
"9001",12991,874823,"TREE PLANTING","2315 40TH STREET NW",1319597617000,1331110778000,"262740","CLOSED","11-00337880",-77.0785306351523,38.9211576588634
"9012",13002,875195,"TREE PLANTING","3126 24TH STREET SE",1319644061000,1329318988000,"270593","CLOSED","11-00338446",-76.9719859349653,38.8523181005668
"9014",13004,875355,"TREE PLANTING","1201 CONNECTICUT AVENUE NW",1319649461000,1319641381000,NA,"CLOSED","11-00338661",-77.0408035929428,38.906094891351
"9019",13009,875459,"TREE PLANTING","1152 4TH STREET NE",1319654679000,1320411410000,NA,"CLOSED","11-00338823",-77.0007958272151,38.9051857751619
"9026",13016,875566,"TREE PLANTING","642 C STREET NE",1319660800000,1362381582000,"275800","CLOSED","11-00339014",-76.9967670631054,38.8937554741844
"9029",13019,875744,"TREE PLANTING","1439 MADISON STREET NW",1319689061000,1362381582000,"234585","CLOSED","11-00339296",-77.0351271048114,38.958571746037
"9051",13041,876515,"TREE PLANTING","11 GRANT CIRCLE NW",1319748825000,1335173642000,"237726","CLOSED","11-00340451",-77.0183211102362,38.943331965364
"9061",13051,876830,"TREE PLANTING","1237 PERRY STREET NE",1319808886000,1327326047000,"305366","CLOSED","11-00340912",-76.9893663110609,38.9359808887225
"9066",13056,877091,"TREE PLANTING","922 24TH STREET NW",1319817166000,1329316646000,"227652","CLOSED","11-00341296",-77.0516599438343,38.9014955231447
"9078",13068,877605,"TREE PLANTING","645 8TH STREET NE",1319843986000,1362381582000,"275798","CLOSED","11-00342026",-76.9946964194003,38.8986144213361
"9082",13072,877896,"TREE PLANTING","608 A STREET NE",1319923370000,1320066919000,NA,"CLOSED","11-00342407",-76.9978275276838,38.8911676635681
"9084",13074,877952,"TREE PLANTING","1715 WILLARD STREET NW",1320007972000,1328168618000,"227860","CLOSED","11-00342555",-77.0391049128699,38.9164526341877
"9086",13076,877971,"TREE PLANTING","2447 40TH STREET NW",1320030832000,1331110778000,"263188","CLOSED","11-00342603",-77.07851696898,38.9223610004831
"9091",13081,878120,"TREE PLANTING","3459 23RD STREET SE",1320069896000,1328168618000,"220836","CLOSED","11-00342850",-76.9718376275284,38.8459914380344
"9112",13102,879102,"TREE PLANTING","2825 39TH STREET NW",1320161339000,1331110778000,"263219","CLOSED","11-00344386",-77.0768390236805,38.9273293949856
"9114",13104,879487,"TREE PLANTING","1813 24TH STREET NW",1320175020000,1320236150000,NA,"CLOSED","11-00344917",-77.0523649814897,38.9146299220844
"9115",13105,879510,"TREE PLANTING","1813 24TH STREET NW",1320175740000,1320236167000,NA,"CLOSED","11-00344943",-77.0523649814897,38.9146299220844
"9120",13110,879586,"TREE PLANTING","6304 31ST PLACE NW",1320179700000,1351670386000,"234651","CLOSED","11-00345061",-77.0614988949461,38.9731717797058
"9121",13111,879629,"TREE PLANTING","3420 N STREET NW",1320183478000,1329316646000,"271460","CLOSED","11-00345131",-77.0685678698413,38.9066223064815
"9127",13117,879805,"TREE PLANTING","2440 M STREET NW",1320240180000,1329316646000,"133913","CLOSED","11-00345438",-77.0526784725458,38.9050739081604
"9131",13121,880008,"TREE PLANTING","733 18TH STREET NE",1320247922000,1320673793000,NA,"CLOSED","11-00345715",-76.9775400833236,38.8984489712729
"9136",13126,880292,"TREE PLANTING","3065 CLEVELAND AVENUE NW",1320258003000,1331110778000,"263184","CLOSED","11-00346086",-77.0603900748802,38.9255857634908
"9137",13127,880294,"TREE PLANTING","3510 GARFIELD STREET NW",1320258003000,1331110778000,"263218","CLOSED","11-00346087",-77.0693931675857,38.9272754993512
"9146",13136,880607,"TREE PLANTING","2506 CLIFFBOURNE PLACE NW",1320275642000,1320753144000,NA,"CLOSED","11-00346530",-77.0449125745001,38.9227266491799
"9147",13137,880609,"TREE PLANTING","2506 CLIFFBOURNE PLACE NW",1320275824000,1320751852000,NA,"CLOSED","11-00346533",-77.0449125745001,38.9227266491799
"9148",13138,880617,"TREE PLANTING","2508 CLIFFBOURNE PLACE NW",1320276362000,1320753112000,NA,"CLOSED","11-00346543",-77.0449404210303,38.9228134787168
"9168",13158,881484,"TREE PLANTING","24 K STREET NW",1320365825000,1324549125000,"229247","CLOSED","11-00347753",-77.0102937175358,38.9022824721403
"9170",13160,881511,"TREE PLANTING","4401 5TH STREET NW",1320380586000,1362381582000,"305443","CLOSED","11-00347801",-77.0190681717015,38.9443505029836
"9176",13166,882048,"TREE PLANTING","408 21ST STREET NE",1320428468000,1324549125000,"195263","CLOSED","11-00348532",-76.9751101106917,38.8951364630944
"9192",13182,882822,"TREE PLANTING","522 14TH STREET NE",1320521892000,1327326047000,"228939","CLOSED","11-00349544",-76.9857547501591,38.8968737078352
"9233",13223,883997,"TREE PLANTING","1505 35TH STREET NW",1320761481000,1320825090000,NA,"CLOSED","11-00351487",-77.0688020010394,38.9091029783647
"9239",13229,884114,"TREE PLANTING","1252 OATES STREET NE",1320766341000,1331110778000,"259892","CLOSED","11-00351684",-76.9866004012822,38.9049609720009
"9240",13230,884126,"TREE PLANTING","1352 G STREET SE",1320766880000,1362381582000,"275835","CLOSED","11-00351698",-76.9864333187912,38.8814607246366
"9246",13236,884471,"TREE PLANTING","1405 RHODE ISLAND AVENUE NW",1320778762000,1324549125000,"227647","CLOSED","11-00352176",-77.0323852397836,38.9089415540246
"9249",13239,884628,"TREE PLANTING","3301 O STREET NW",1320786680000,1320824950000,NA,"CLOSED","11-00352437",-77.0662454917776,38.9079474235503
"9265",13255,885246,"TREE PLANTING","1113 O STREET NW",1320860483000,1327326047000,"304615","CLOSED","11-00353417",-77.0276924995788,38.9087843938685
"9271",13261,885674,"TREE PLANTING","3200 RESERVOIR ROAD NW",1320882266000,1329998854000,"131294","CLOSED","11-00354028",-77.0641851984297,38.9125876915104
"9299",13289,886486,"TREE PLANTING","1718 1ST STREET NW",1321036710000,1362381582000,"234702","CLOSED","11-00355306",-77.0124400493664,38.9131961468753
"9300",13290,886487,"TREE PLANTING","2300 - 2399 BLOCK OF 18TH STREET NW",1321036890000,1322476899000,NA,"CLOSED","11-00355308",-77.0418613680746,38.9201330598522
"9301",13291,886499,"TREE PLANTING","5016 NEBRASKA AVENUE NW",1321046250000,1362381582000,"263282","CLOSED","11-00355337",-77.0715532477424,38.9553398969934
"9312",13302,887278,"TREE PLANTING","3929 GARRISON STREET NW",1321283124000,1321351910000,NA,"CLOSED","11-00356514",-77.0784736862258,38.9561734960016
"9329",13319,887878,"TREE PLANTING","1435 G STREET NE",1321322905000,1327326047000,"230374","CLOSED","11-00357559",-76.9843048508323,38.8987264524425
"9333",13323,887974,"TREE PLANTING","2604 CONNECTICUT AVENUE NW",1321365567000,1327326047000,"193875","CLOSED","11-00357725",-77.052053698916,38.9238508978805
"9334",13324,887976,"TREE PLANTING","1626 H STREET SE",1321365569000,1329319039000,"228898","CLOSED","11-00357727",-76.9810792113029,38.8804425724275
"9337",13327,888056,"TREE PLANTING","3039 Q STREET NW",1321368987000,1329996971000,"227514","CLOSED","11-00357855",-77.060963104571,38.9107338785502
"9338",13328,888084,"TREE PLANTING","3111 WALNUT STREET NE",1321369887000,1362381582000,"259906","CLOSED","11-00357891",-76.9619149526983,38.930695850561
"9354",13344,888752,"TREE PLANTING","4416 KLINGLE STREET NW",1321449090000,1331110778000,"263321","CLOSED","11-00358941",-77.0872524896347,38.9310772908898
"9356",13346,888786,"TREE PLANTING","3845 HARRISON STREET NW",1321452690000,1331110778000,"263325","CLOSED","11-00359002",-77.0766186706114,38.9571993267433
"9357",13347,888844,"TREE PLANTING","25 LONGFELLOW STREET NW",1321455572000,1362381582000,"274084","CLOSED","11-00359091",-77.0103297862017,38.9578896868992
"9362",13352,888954,"TREE PLANTING","223 E STREET SE",1321460971000,1321618508000,NA,"CLOSED","11-00359289",-77.0026526753506,38.8830191226356
"9379",13369,889686,"TREE PLANTING","3346 RUNNYMEDE PLACE NW",1321549356000,1329316646000,"233847","CLOSED","11-00360474",-77.0693162522781,38.970347107528
"9380",13370,889705,"TREE PLANTING","16 FRANKLIN STREET NE",1321549896000,1351670386000,"263811","CLOSED","11-00360493",-77.0082249313471,38.9253998322789
"9384",13374,889734,"TREE PLANTING","1279 OWEN PLACE NE",1321551515000,1326371979000,NA,"CLOSED","11-00360532",-76.9858084769819,38.9049483568946
"9385",13375,889766,"TREE PLANTING","1931 CALVERT STREET NW",1321552955000,1327326047000,"299013","CLOSED","11-00360579",-77.0457219066171,38.9234857369817
"9386",13376,889801,"TREE PLANTING","4220 ALTON PLACE NW",1321554756000,1331110778000,"263307","CLOSED","11-00360628",-77.082601525337,38.9473384875141
"9392",13382,889904,"TREE PLANTING","1920 38TH STREET NW",1321558716000,1324549125000,"227522","CLOSED","11-00360765",-77.0745122728525,38.9160291438624
"9393",13383,889907,"TREE PLANTING","1920 38TH STREET NW",1321558896000,1321868875000,NA,"CLOSED","11-00360771",-77.0745122728525,38.9160291438624
"9397",13387,890184,"TREE PLANTING","1714 19TH STREET NW",1321585540000,1321860415000,NA,"CLOSED","11-00361180",-77.0437626233638,38.9131549220704
"9399",13389,890186,"TREE PLANTING","1714 19TH STREET NW",1321586080000,1321860449000,NA,"CLOSED","11-00361182",-77.0437626233638,38.9131549220704
"9400",13390,890327,"TREE PLANTING","5114 MANNING PLACE NW",1321628019000,1331110778000,"263025","CLOSED","11-00361388",-77.1056265324683,38.9338792988256
"9408",13398,890685,"TREE PLANTING","730 RITTENHOUSE STREET NW",1321642059000,1328168618000,"238109","CLOSED","11-00361895",-77.0235295223767,38.9647630568944
"9409",13399,890696,"TREE PLANTING","1921 11TH STREET NW",1321642597000,1331110778000,"289876","CLOSED","11-00361907",-77.026752911541,38.9163627888878
"9425",13415,891557,"TREE PLANTING","1200 I STREET NE",1321800442000,1322056357000,NA,"CLOSED","11-00363068",-76.990020156146,38.9014943585536
"9434",13424,891876,"TREE PLANTING","4149 ALABAMA AVENUE SE",1321892604000,1362381582000,"271078","CLOSED","11-00363674",-76.9399220972763,38.8712005383132
"9438",13428,892156,"TREE PLANTING","1217 KENNEDY STREET NW",1321903225000,1322653189000,NA,"CLOSED","11-00364078",-77.0288543610037,38.9564308469739
"9444",13434,892279,"TREE PLANTING","1565 33RD STREET NW",1321913485000,1331110778000,"227038","CLOSED","11-00364301",-77.0659261492294,38.9104682299447
"9446",13436,892393,"TREE PLANTING","2225 S STREET NE",1321956507000,1344518447000,"259954","CLOSED","11-00364483",-76.9730672914086,38.9138880685635
"9449",13439,892613,"TREE PLANTING","6155 SLIGO MILL ROAD NE",1321977570000,1419330790000,"274085","CLOSED","11-00364859",-77.0050148243564,38.9650872718973
"9451",13441,892703,"TREE PLANTING","335 18TH PLACE NE",1321981889000,1332764359000,NA,"CLOSED","11-00364993",-76.9779081628329,38.8943789714645
"9452",13442,892714,"TREE PLANTING","521 QUINCY STREET NW",1321982247000,1351670386000,"237631","CLOSED","11-00365008",-77.0198296888803,38.9379588130915
"9453",13443,892861,"TREE PLANTING","1712 22ND STREET NW",1321991068000,1362381582000,"228284","CLOSED","11-00365244",-77.0490460936761,38.9130537319457
"9457",13447,893121,"TREE PLANTING","530 CEDAR STREET NW",1322056411000,1362381582000,"237440","CLOSED","11-00365652",-77.020966086547,38.9745520800135
"9476",13466,893753,"TREE PLANTING","1421 MADISON STREET NW",1322227777000,1335173642000,"234775","CLOSED","11-00366632",-77.0341661258957,38.9585583382579
"9479",13469,893825,"TREE PLANTING","4212 49TH STREET NW",1322234079000,1331110778000,"221973","CLOSED","11-00366746",-77.0970603433935,38.9437002791956
"9480",13470,893894,"TREE PLANTING","415 8TH STREET NW",1322238579000,1362381582000,"312886","CLOSED","11-00366844",-77.0226905497733,38.8955599431235
"9485",13475,894338,"TREE PLANTING","3924 W STREET NW",1322309140000,1322485759000,NA,"CLOSED","11-00367455",-77.0780577491023,38.9189687711826
"9486",13476,894339,"TREE PLANTING","3743 W STREET NW",1322309320000,1327326047000,"193274","CLOSED","11-00367456",-77.0753322890743,38.9193624224558
"9488",13478,894346,"TREE PLANTING","BENTON STREET NW AND OBSERVATORY PLACE NW",1322312020000,1322485118000,NA,"CLOSED","11-00367466",-77.0746278422044,38.9206866486317
"9489",13479,894347,"TREE PLANTING","3823 BENTON STREET NW",1322312020000,1322484834000,NA,"CLOSED","11-00367467",-77.0767991066905,38.9208917127202
"9498",13488,894844,"TREE PLANTING","1401 HEMLOCK STREET NW",1322431702000,1328168618000,"233586","CLOSED","11-00368210",-77.0336905625963,38.981542192657
"9506",13496,895033,"TREE PLANTING","1726 S STREET NW",1322494885000,1351670386000,"228404","CLOSED","11-00368635",-77.0404282327382,38.91387697069
"9509",13499,895082,"TREE PLANTING","7433 8TH STREET NW",1322497046000,1362381582000,"274087","CLOSED","11-00368719",-77.0241881874445,38.9808518118471
"9518",13508,895370,"TREE PLANTING","223 FARRAGUT STREET NW",1322512708000,1331110778000,"274132","CLOSED","11-00369287",-77.0143526648328,38.9514033091474
"9521",13511,895567,"TREE PLANTING","1208 I STREET NE",1322533596000,1327326047000,"228783","CLOSED","11-00369566",-76.9897252529518,38.9015345102708
"9525",13515,895793,"TREE PLANTING","1713 NEWTON STREET NW",1322581829000,1331110778000,"289882","CLOSED","11-00370009",-77.0392553337843,38.9343646355782
"9538",13528,896501,"TREE PLANTING","3573 10TH STREET NW",1322665352000,1331110778000,"289884","CLOSED","11-00371168",-77.0269298858142,38.9346196373431
"9544",13534,896676,"TREE PLANTING","255 FARRAGUT STREET NW",1322672193000,1331110778000,"274088","CLOSED","11-00371452",-77.0156131197004,38.9512935168932
"9550",13540,897091,"TREE PLANTING","400 - 499 BLOCK OF I STREET NW",1322693973000,1362381582000,"312888","CLOSED","11-00372076",-77.0175525017933,38.9013323422515
"9569",13559,898498,"TREE PLANTING","2852 NORTHAMPTON STREET NW",1322855439000,1362381582000,"234782","CLOSED","11-00374232",-77.0587171815545,38.9659039174847
"9574",13564,899351,"TREE PLANTING","5807 CHEVY CHASE PARKWAY NW",1323055944000,1334910225000,"310752","CLOSED","11-00375503",-77.0726336864965,38.9672125666636
"9576",13566,899431,"TREE PLANTING","Q STREET NW AND 12TH STREET NW",1323094827000,1362381582000,"310761","CLOSED","11-00375694",-77.0280842784223,38.9111331360959
"9578",13568,901621,"TREE PLANTING","3100 - 3199 BLOCK OF 20TH STREET SE",1323105447000,1323104856000,NA,"CLOSED","11-00376092",-76.9762563659837,38.8522070182266
"9582",13572,901791,"TREE PLANTING","5330 41ST STREET NW",1323111521000,1329316646000,"262665","CLOSED","11-00375786",-77.0805613979724,38.9600877888642
"9585",13575,901978,"TREE PLANTING","40 Q STREET NE",1323120385000,1343807214000,"283809","CLOSED","11-00376565",-77.0074089406811,38.9113111286559
"9586",13576,902000,"TREE PLANTING","6212 31ST STREET NW",1323122185000,1362381582000,"233009","CLOSED","11-00376618",-77.0607780547146,38.9724370843864
"9599",13589,902857,"TREE PLANTING","1400 EMERSON STREET NW",1323216689000,1326957967000,NA,"CLOSED","11-00378032",-77.0335874217379,38.9495533891706
"9601",13591,902948,"TREE PLANTING","2325 42ND STREET NW",1323266732000,1331110778000,"263393","CLOSED","11-00378199",-77.0816970089577,38.9220824450587
"9610",13600,907314,"TREE PLANTING","3714 35TH STREET NW",1323286711000,1328168618000,"203747","CLOSED","11-00378754",-77.0688850370538,38.9387317554578
"9622",13612,907574,"TREE PLANTING","2802 27TH STREET NW",1323354574000,1331110778000,"301028","CLOSED","11-00379234",-77.0556042232494,38.9267067916788
"9623",13613,907688,"TREE PLANTING","1817 KENYON STREET NW",1323359254000,1331110778000,"289900","CLOSED","11-00379390",-77.042327117397,38.9298950823752
"9625",13615,907776,"TREE PLANTING","1411 GIRARD STREET NE",1323363574000,1328802521000,"259934","CLOSED","11-00379519",-76.9854395120261,38.926595159296
"9633",13623,908126,"TREE PLANTING","4810 QUEBEC STREET NW",1323381756000,1326441194000,"263369","CLOSED","11-00380062",-77.0947897358696,38.9379705234638
"9638",13628,908604,"TREE PLANTING","100 - 145 BLOCK OF V STREET NW",1323448004000,1351670386000,"234599","CLOSED","11-00380783",-77.0128473920854,38.9181201126306
"9639",13629,908676,"TREE PLANTING","206 S STREET NE",1323449977000,1351670386000,"109148","CLOSED","11-00380880",-77.0030517582493,38.9143175868015
"9640",13630,908766,"TREE PLANTING","4820 ILLINOIS AVENUE NW",1323452858000,1362381582000,"273988","CLOSED","11-00381009",-77.0232666160003,38.9490429676379
"9645",13635,909003,"TREE PLANTING","I STREET SE AND I STREET SW",1323461139000,1324292406000,NA,"CLOSED","11-00381322",-77.0090605837411,38.8792933814143
"9654",13644,909836,"TREE PLANTING","5829 - 5988 BLOCK OF NEBRASKA AVENUE NW",1323626901000,1326440427000,"161693","CLOSED","11-00382468",-77.0594983893091,38.9678021550254
"9657",13647,909842,"TREE PLANTING","6100 - 6129 BLOCK OF UTAH AVENUE NW",1323635723000,1351670386000,"234800","CLOSED","11-00382497",-77.0623281868027,38.9702449599507
"9658",13648,909843,"TREE PLANTING","6100 - 6129 BLOCK OF UTAH AVENUE NW",1323635902000,1351670386000,"234799","CLOSED","11-00382498",-77.0623281868027,38.9702449599507
"9661",13651,909855,"TREE PLANTING","427 R STREET NW",1323654622000,1338286822000,"316219","CLOSED","11-00382536",-77.0180451836981,38.9127844551443
"9662",13652,909860,"TREE PLANTING","14TH STREET NW AND FORT STEVENS DRIVE NW",1323666503000,1326101005000,NA,"CLOSED","11-00382546",-77.0334192010376,38.9640221520087
"9663",13653,909861,"TREE PLANTING","1362 FORT STEVENS DRIVE NW",1323666863000,1326975495000,NA,"CLOSED","11-00382547",-77.0321633861727,38.9638575631095
"9666",13656,910018,"TREE PLANTING","6100 - 6129 BLOCK OF UTAH AVENUE NW",1323703405000,1351670386000,"234798","CLOSED","11-00382836",-77.0623281868027,38.9702449599507
"9667",13657,910021,"TREE PLANTING","5829 - 5988 BLOCK OF NEBRASKA AVENUE NW",1323703585000,1326440527000,"161690","CLOSED","11-00382839",-77.0594983893091,38.9678021550254
"9668",13658,910023,"TREE PLANTING","UTAH AVENUE NW AND RITTENHOUSE STREET NW",1323703585000,1362381582000,"234797","CLOSED","11-00382843",-77.0619908913698,38.9697742423674
"9671",13661,910291,"TREE PLANTING","777 6TH STREET NW",1323715285000,1329316646000,"256432","CLOSED","11-00383245",-77.0196452672315,38.8994961593594
"9672",13662,910310,"TREE PLANTING","521 QUINCY STREET NW",1323716006000,1351670386000,"274165","CLOSED","11-00383274",-77.0198296888803,38.9379588130915
"9673",13663,910316,"TREE PLANTING","1108 LAMONT STREET NW",1323716184000,1362381582000,"289927","CLOSED","11-00383282",-77.0282955740445,38.930479997728
"9678",13668,910431,"TREE PLANTING","5107 MASSACHUSETTS AVENUE NW",1323723207000,1331110778000,"263383","CLOSED","11-00383480",-77.0995390389611,38.9482419755416
"9680",13670,910570,"TREE PLANTING","221 E STREET SE",1323741745000,1327326047000,"250459","CLOSED","11-00383734",-77.002720444786,38.8830133557077
"9684",13674,910934,"TREE PLANTING","646 IRVING STREET NW",1323794667000,1328168618000,"289763","CLOSED","11-00384295",-77.0224785456217,38.9288045443597
"9686",13676,910948,"TREE PLANTING","1407 INGRAHAM STREET NW",1323795029000,1323957648000,NA,"CLOSED","11-00384310",-77.03410095917,38.9542619551187
"9687",13677,911135,"TREE PLANTING","6319 13TH STREET NW",1323802407000,1323932653000,NA,"CLOSED","11-00384606",-77.0293959605638,38.9668720915621
"9690",13680,911145,"TREE PLANTING","103 15TH STREET NE",1323802769000,1324390245000,NA,"CLOSED","11-00384622",-76.9833887613195,38.8911285776414
"9701",13691,912008,"TREE PLANTING","1224 4TH STREET NW",1323896370000,1323946613000,NA,"CLOSED","11-00385995",-77.0163833053915,38.9066674935187
"9724",13714,913468,"TREE PLANTING","2164 FLORIDA AVENUE NW",1324059461000,1362381582000,"228418","CLOSED","11-00388122",-77.0478563911413,38.9120145726442
"9725",13715,913598,"TREE PLANTING","4429 49TH STREET NW",1324066477000,1324378983000,NA,"CLOSED","11-00388321",-77.0964987459008,38.9474902610503
"9728",13718,913883,"TREE PLANTING","2937 NORTHAMPTON STREET NW",1324137579000,1351670386000,"234837","CLOSED","11-00388765",-77.0604227308181,38.9660289839209
"9729",13719,913887,"TREE PLANTING","2962 NORTHAMPTON STREET NW",1324137759000,1351670386000,"234836","CLOSED","11-00388770",-77.061146335085,38.965626929889
